,ID_CLEAN,DESCRIPTION,Comments,ISSUED_DATE,EXPIRATION_DATE,Property_ID
473,402245010.0,Other,Amend Permit ALT113727 to Eliminate intumescent varnish in first floor reception  first floor lobby  second floor balcony as well as window casings on first and second floor. The premise is listed on the National Register of Historic Places. The Massachusetts Historical Commission  the Boston Landmarks Commission and the Boston Preservation Alliance seek to have the lobby area remain substantially in its present condition. Applicant proposes a compliance alternative to the intumescent varnish  which is detailed in the attached memorandum  which in substance proposes the removal of certain portions of the existing wood paneling in combination with sprinklering of the affected areas. Substitute unrated framing and glass at glazed wall areas between new Main Stair and Caf_/Lobby  new Main Stair and gymnasium  new main stair and 2nd floor Wellness. Install additional sprinkler heads as shown. Cost reflects on ALT113727 ;Per Plan,4/4/13 13:30,10/4/13 0:00,76357.0
509,304781000.0,Renovations -Interior  NSC,Amendment to ALT43568 (8-10 Winter Street) 1. Remove door on first floor in stair tower 1 and replace with gate to allow free air-flow for proper stair pressurization. 2. Add partition and door in common corridor next to elevators on floors three through twelve to create elvator lobby on each floor.Incorporate changes within shaft of smoke pressurztion ducts and mech exhaust;it will be unseperated with engineered compliance alternative. also see alternate test procedures regarding duct leakage testing.As built sets will be filed after final configuration  programing and testing.;,7/10/13 13:08,1/10/14 0:00,343137.0
539,503351000.0,Renovations - Exterior,Adding Exterior doors  skylights;and siding per BBAC approved plans and specs.,11/21/13 11:18,5/21/14 0:00,90825.0
568,503424000.0,Interior/Exterior Work,Restoration and renovation of building including but not limited to reconfiguration/reconstruction of existing rear deck and rooms below  rear wall  reconstruction/enlargement rear oriel; build new roof deck and skylights  entryway and windows  all as shown on plans filed herewith. Portion of fee for work herein paid with ALT 232184;; PAID NOMINAL FEE ONLY,12/26/13 15:58,6/26/14 0:00,90890.0
711,2201060000.0,Renovations - Exterior,Revisions to 12/7/12 construction documents including: 1)sitework; construct soil berm in lieu of pavers  landscape strip eastern border  north side landscaping  remove south landscaping &; recharge system 2)building exterior: remove outdoor kiln area  reduce exterior siding on west elevation  changes to skylights 3)building interior: future tenant space (remove restrooms  east doors/vestibule)  revise layout mechanical &; electric rooms  revise wall layouts  remove dumbwaiter  remove mezzanine at kiln room  remove utility closet at mezzanin. to amend doc ALT208755,3/6/14 8:06,9/6/14 0:00,148166.0
776,,Renovations -Interior  NSC,Amendment to kitchen hood grease duct (code compliance alternative) jk,6/11/14 14:54,12/11/14 0:00,0.0
883,900571000.0,Roofing,Amendment to ALT218175. Delete 5 recessed balconies on Tremont St elevation  and add skylights to roof  approved by South End Landmark District Commission per the attached letter (#13.969 SE). There is a net reduction in cost of construction per the attached letter.,5/30/14 9:10,11/30/14 0:00,350936.0
905,1901853000.0,Other,Amend permit number ALT293175 to change rear elevation by installing four fixed fire rated clear glazing windows for the purpose of allowing natural light to the interior environment.,5/13/14 12:01,11/13/14 0:00,24059.0
953,400683000.0,Interior/Exterior Work,Remove existing half story skyliht on roof and install new copper clad skylight of smaller size as aproved by the south end landmark commision. All structual work alredy performed on current renovation permit.,6/6/14 8:21,12/6/14 0:00,25764.0
1056,303670000.0,Renovations -Interior  NSC,Amend ALT360548. Revisions to 2nd floor layout include restroom &; electrical room location  seating arrangement  removal of new seating platform and removal of walk-in refridgerator &; freezer. Retain existing 2nd floor lighting &; HVAC equipment for reuse. Revisions to 1st floor are removal of millwork fixture and the addition of 1st floor walk-in refridgerator.,9/18/14 9:26,3/18/15 0:00,
1130,1102688000.0,Erect,Amended Plans in accordance with Stoney Brook Neighborhood Association;Community meeting dated September 25  2014.; This application is being filed to amend building permit No. ERT300422 to modify interior floor layouts which results in a reduction of the gross floor area and to allow for modifications to exterior elements including porches as per the plans filed herewith. The estimated cost of construction of this amendment is negligible as the gross floor area is being reduced and the estimated cost of construction stated on ERT300422 should therefore be reduced.;,11/25/14 10:42,5/25/15 0:00,347046.0
1199,701826000.0,Other,Amend ALT293507. Legalize  as a compliance alternative  the existing exterior spiral stairway which;has provided the second means of egress for the existing third floor unit. This unit lacked a second means of egress prior to the installation of this spiral stair. No work to be done.;;;;;;Compliance alternative approved by H.M.,1/22/15 15:30, ,59811.0
1211,400985200.0,Interior/Exterior Work,Amendment to ALT441673 reflect reuse of existing wall  and affidavits for relocation of two sprinkler heads  no fire alarm work. Cost reflected on ALT441673.,2/20/15 15:29,8/20/15 0:00,76237.0
1212,400985000.0,Interior/Exterior Work,Amendment to ALT441673 reflect reuse of existing wall  and affidavits for relocation of two sprinkler heads  no fire alarm work. Cost reflected on ALT441673.,2/20/15 15:29,8/20/15 0:00,76237.0
1236,703892100.0,Renovations -Interior  NSC,These plans serve to amend the interior layouts of 3 residential units previously approved under ISD Permit 09-1746; Change occupancy to 12 (one unit reduction),4/15/15 14:33, ,340679.0
1279,602640030.0,Interior/Exterior Work,this permit filed to amend issued permit ERT299024/2014 by changing sprinkler locations and allowing alternative design at window pockets around perimeter of building.,5/29/15 9:46,11/29/15 0:00,350792.0
1284,503134000.0,Renovations -Interior  NSC,Amend ALT448286. Add lighting control panel  relocate mop sink and water heater  delete mesh ceiling  add 4 jboxes 10 power boxes 6 data boxes  add back of house shelving. All per plans. Cost reflected on ALT448286.,4/29/15 15:07,10/29/15 0:00,18413.0
1424,602640060.0,Other,Seaport Square - Watermark Parcel K -; To Amend;Permit ERT301677.; To request an approval of an alternative design to allow for increased allowable area of openings in exterior walls for various fire separation distances.;,10/5/15 9:58,4/5/16 0:00,350786.0
1455,305755000.0,Interior/Exterior Work,Layout modifications as shown on plan. revised roof at level 3 rear externsion. Value covered under ALT383395.4th floor roof deck scaled back  no longer cover entire roof below  addition of 4 skylights  laundry room config changed  method of cleaning bricks  repair/restore existing façade  windows. fifth floor fire escape cut back to provided access from kitchen ,11/3/15 10:26,5/3/16 0:00,95415.0
1456,501213000.0,Renovations - Exterior,Front deck: Emergency removal of existing front deck  roofing sturcture and membrane as required to find and remedy water infiltration/leaks and repair failing structure. Removal of faulty skylight. Removal of metal furniture and metal rails around skylights. Re-frame and/or sister additional structural framing  as required  per structural engineer recommendations. Install new membrane roof to match existing: Repair and re-install existing roof decking with a smaller footprint  as per the plans. Install additional metal rails to match existing at reconfigured deck as per plan. All rails currently visible from the public way to remain. Rear deck: Emergency removal of existing decking  rails and membrane as required  to find and remedy water infiltration/leaks. Re-install existing decking and existing railings in the exact configuration.,9/30/15 9:40,3/30/16 0:00,40064.0
1472,1102677000.0,Addition,"-Add 2 skylights@2'x4'. -Remove existing floor system before building LivingRoom/Kitchen Addition. Build new floor system directly on top plates of existing walls. Build floor with 2x12  12"" OC joists. -Change orientation of roof rafters of LivingRoom/K",2/16/16 14:20, ,110999.0
1516,600304000.0,Other,The following is a proposed alternative for the fire rated exterior walls for the project located at 111 B Street. It's all interior  no change on the exterior of the building.,5/12/16 9:45,11/12/16 0:00,7358.0
1525,2100555000.0,New construction,"Amend ERT274011: Replace 44"" wide section of green roof plantings with 44"" paver pathway around perimeter of roof inside parapet wall  as requested by Boston Fire Department to create safe and level walking surface in the event of an emergency. Changes are shown on revised drawing A1.3. There is no cost associated with this change.",11/24/15 16:44,6/10/16 0:00,350646.0
1540,503934010.0,Other,This application is being filed to address the reduced clearances on both levels of the new parking garage. The clearance reductions are a result of an increase in pipe size and the location of the pipe installation. Original permit documents identified 7' clear and the amendment docs identify an as-built field survey showing some areas that fall below 7'  and the lowest identifiable height is 6'6''.,8/12/16 12:20,2/12/17 0:00,351969.0
1546,501334000.0,Interior/Exterior Work,Amendment to ALT478657. Alternative stair tower design as per 780 CMR Section 104.1,1/12/16 14:42,7/12/16 0:00,101336.0
1556,,Renovations -Interior  NSC,Change in scope from ALT495074 to include the following. Added first floor fireplace. Basement patron areas  including bar  dining  bathrooms and elevator will be completed under a separate permit at a later date. No work but reduction in scope only.,1/19/16 8:43,7/19/16 0:00,419685.0
1622,2102464000.0,Fire Alarm,compliance alternative for existing shafts that are not rated  changes to smoke dampers and sprinklers. Any future work at these locations(kitchens and bathrooms) where walls are removed will provide new walls that are 1 hour rated for the shafts. All work in conjunction with ALT480872.,4/14/16 13:42,10/14/16 0:00,39263.0
1707,,Other,Modification;to;approved rear yard and off-street parking/landscaping plan - changing existing three parking spaces to four parking spaces (two tandem);and reduction of patio area per plan filed herewith.,6/1/16 8:54,12/1/16 0:00,102414.0
1720,402552000.0,Roofing,Install new rubber roof  1 new skylight and 1 access hatch.,5/16/16 8:31,11/16/16 0:00,129963.0
1729,1901350000.0,Other,To Amend ALT224754 by submitting new drawings that show reduction in size of footprint; and where chimney was removed  replace one existing window with two windows plus remove 1 other window to match; wrap sunroom with heavy trim to match other bays on house. Please see plans filed and Approved by BRA.;; ;,9/14/16 12:14,3/14/17 0:00,66673.0
1731,402406000.0,Interior/Exterior Work,Amend ALT526173. On the fourth floor penthouse  modify exterior wall assembly to meet Type IIIB requirements. This request is for approval of a Compliance Alternative for the use of field-applied fire retardant material on existing non-FR wood.,5/25/16 14:07,11/25/16 0:00,44664.0
1788,502362000.0,Interior/Exterior Work,Modifications to interior closet configurations  addition of interior millwork elements  modifications and addition of roof deck guard rails  reduction in size of rear wood patio screen. Addition of roof deck anchorage. Original Permit No. ALT413288,7/28/16 10:29,1/29/17 0:00,31490.0
1943,401037100.0,Interior/Exterior Work,This Amendment filed to amend ALT597300;to original plans  including electrical  lighting and plumbing  and relocation of one n-b wall on the third level  and installation of two fixtures - no work cost  work reduction,10/31/16 11:37,4/30/17 0:00,352615.0
1958,304321062.0,Other,Owner is looking to enclose 315 SF of his exterior deck with a glass greenhouse. PARENT APPLICATION #3913/2010,2/7/13 13:10,8/7/13 0:00,128505.0
1959,304321000.0,Other,Owner is looking to enclose 315 SF of his exterior deck with a glass greenhouse. PARENT APPLICATION #3913/2010,2/7/13 13:10,8/7/13 0:00,128505.0
1976,304102000.0,Interior/Exterior Work,Renovation to adjacent space rather than within existing space to add 5 additional offices. (see alt 579368 for fee.;No cost due to scope reduction ky ),11/21/16 8:36,5/21/17 0:00,73281.0
2024,105972000.0,Other,Confirm 2 existing rooms used for storage and utility  will be used only for storage and utility.; Filed per local building inspector.,11/14/16 8:10,5/14/17 0:00,113280.0
2041,501404000.0,Fire Protection/Sprinkler,Fire protection system alterations from original scope to a (compliance alternative);full automatic sprinkler system.,11/23/16 10:30,5/23/17 0:00,101374.0
2062,2100703000.0,Other,Proposed Alternative Design for Mezzanine Level,8/29/17 9:14,2/28/18 0:00,
2069,400291000.0,Interior/Exterior Work,Application to amend ALT565760. Work to include excavating slab to;lower basement floor level to extend living space for Unit #1  new exterior door at rear  window replacement  new fire alarm system  install ground water retention system; and new water supply line for fire protection system.,3/1/17 11:39,9/1/17 0:00,137791.0
2099,601950000.0,Renovations -Interior  NSC,Added structural beams to accommodate new opening in roof for added skylight. Revised ceiling  lighting and mechanical layout to accommodate skylight.,6/15/17 10:38,12/15/17 0:00,21504.0
2120,,Renovations - Exterior,Relocation of exterior door and window as approved by Back Bay Historical Commission.; No new openings  existing exterior openings to be reused.,3/3/17 15:24,9/3/17 0:00,168743.0
2234,201654000.0,Renovations - Exterior,Increase roofline to maximum allowable height without exceeding local ordinance. Installation of roof deck on back portion of house to include extension of living space into the basement area.,11/1/17 13:25,5/1/18 0:00,42341.0
2369,,Renovations -Interior  NSC,Amend ALT634802. Additional fire rated skylight to separate the common space from the work area.,10/16/17 14:30, ,168045.0
2410,2200862000.0,Interior/Exterior Work,Modify previously reviewed plans under ALT563233 for new layout by constructing demising wall to create bike retail on one side;and other space to be future;Professional office/local retail shell only for remaining portion.,11/2/17 10:36,5/2/18 0:00,343305.0
2416,2100169000.0,Other,Revise type of;earth retention system from sheet pile to soldier pile within 20ft of abutter. Include flowfill as water cut-off installed between earth support and foundation wall. Raise underslab drainage elevations per groundwater trust.;; E - Plan,11/8/17 12:08,5/8/18 0:00,161929.0
2470,500986000.0,Interior/Exterior Work,Amend permit # ALT745036 Replace existing roof hatch/skylight  Replace existing ladder with a continuation of interior stair  install new openings at garden level in rear  interior renovation of 3rd and 4th floors- reframe walls per attached plans  upgrade plumbing  electrical and heating;,3/6/18 10:33,9/6/18 0:00,28820.0
2498,400883000.0,Renovations - Exterior,install 5' skylight hatch and stairs to roof deck  rebuild current roof deck and relocate HVAC condenser. Remove a non functioning fire Balcony at front;of building. Install glass safety rail in kitchen; ALT759285;,3/12/18 11:35,9/12/18 0:00,120618.0
2521,604401000.0,Other,Modfiy exsting permit to include all perviously permtted work with a stair case and skylight to the roof in the rear stair tower of building.,7/22/11 11:02,1/22/12 0:00,127898.0
2633,1102636000.0,Solar Panels,Install solar electric panels on the roof of existing home to be interconnected with the homes electrical system.,11/23/11 10:01,5/23/12 0:00,173039.0
2650,2204192000.0,Solar Panels,22 solar panel installation.; Legalize occupancy for single family dwelling.,12/15/11 10:25,6/15/12 0:00,59638.0
2664,,City of Boston,Repoint brick exterior  new slate roof and skylights  install new footings and support columns in basement. Install new perimeter gravel drainage trenches at building exterior.,11/15/11 14:30,5/15/12 0:00,
2683,100534000.0,Solar Panels,solar photovoltaic roof-top installation. 27.69 kW (113 Suntech Pluto-245-wde panels with M-215 Enphase micro-invertors).,11/28/11 14:36,5/28/12 0:00,343361.0
2702,1902224000.0,Addition,Construct new 10' x 16' kitchen addition in Rear Yard.;;Install new kitchen  2 new windows &; 2 new skylights  cabinets  hardwood floor  new wiring  light &; plugs  new plumbing &; fixtures  insulation walls &; ceiling  sheetrock  plaster &; paint. minor cost also reflected on sf permit.,10/24/11 9:36,4/24/12 0:00,111487.0
2784,1809839000.0,Change Occupancy,"Change Occupancy from ""Restaurant/Bakery"" to ""Light manufacturing"" (a Candy kitchen for wholesale manufacturing of caramel confections). We'll have occasional customer pickup for incidential word-of-mouth and local internet sales.",12/14/11 15:28,6/14/12 0:00,100950.0
2913,1102009000.0,Solar Panels,Installation of a roof mounted ballast photovoltaic system. A 67.2kw solar system.,1/27/12 13:15,7/27/12 0:00,144650.0
2941,902160000.0,Solar Panels,Install roof mounted solar hot water panels per Plans uploaded.,1/13/12 11:28,7/13/12 0:00,126461.0
2960,1809450000.0,Solar Panels,Attach 816 solar panels totaling 195.84 kiloWatts to flat roof at 20 degree tilt using aluminum rail mounting. Electrically connect solar panels to 177 kiloWatt AC inverters  and interconnect inverter output to NStar utility grid on customer side of the meter. Install and configure components to remotely monitor electricity generation.,11/30/11 15:52,5/30/12 0:00,77193.0
3072,105783000.0,Solar Panels,Install 14 solar panels on roof.,1/20/12 10:15,7/20/12 0:00,49371.0
3082,801024040.0,City of Boston,Furnish and Install a Carport Canopy at 400 Frontage Road. Spread Footings with structural steel. Carport will also have solar panels attached to the top. Various site improvements.,1/11/12 13:32,7/11/12 0:00,61030.0
3134,,Solar Panels,Install solar array for 10;panels for heating hot water as shown in the plans of Jeffrey Struble  structural engineer.,2/2/12 9:46,8/2/12 0:00,0.0
3161,,Solar Panels,The proposed project involves the installation of a 24.48-kW solar photovoltaic electric power system atop the rooftop at 547 Albany Street  Boston  MA. The interconnection point will be in the basement of the adjacent building or 535 Albany. Both buildings are owned and operated by Albany LLC (Manager _ Bonnie Gossels 508/358-4654).,1/19/12 13:23,7/19/12 0:00,161417.0
3204,603005000.0,Change Occupancy,change occupancy from 3 family and 1 professional office to 4 family residential - with addition in rear per plans. Remove fire escapes  replace with decks and stairs. (please see U49110433 for increased parking in rear/requirments)** 2nd floor has a NFPA 13-D sprinkler as a compliance alternative as this is the only renovation as of this permit but building became 4 units.,1/16/13 14:07, ,20976.0
3362,2101071000.0,Solar Panels,20 solar thermal collector installation for hot waters.,1/27/12 11:10,7/27/12 0:00,64542.0
3381,802233000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:12,8/17/10 0:00,54567.0
3382,802232000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:12,8/17/10 0:00,54567.0
3391,802233000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:02,8/17/10 0:00,54568.0
3392,802232001.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:02,8/17/10 0:00,54568.0
3393,802233001.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:02,8/17/10 0:00,54568.0
3394,802233001.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:16,8/17/10 0:00,54570.0
3395,802234000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:16,8/17/10 0:00,54570.0
3396,802235000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:13,8/17/10 0:00,54571.0
3397,802236000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:13,8/17/10 0:00,54571.0
3398,802234000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed.,2/17/10 9:13,8/17/10 0:00,54571.0
3399,802238000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/17/10 9:11,8/17/10 0:00,54575.0
3400,802237000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/17/10 9:11,8/17/10 0:00,54575.0
3401,802236000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/17/10 9:11,8/17/10 0:00,54575.0
3404,802238000.0,Interior/Exterior Work,Installation of solar PV array. plans filed.,2/23/10 9:27,8/23/10 0:00,54576.0
3405,802239000.0,Interior/Exterior Work,Installation of solar PV array. plans filed.,2/23/10 9:27,8/23/10 0:00,54576.0
3406,802237000.0,Interior/Exterior Work,Installation of solar PV array. plans filed.,2/23/10 9:27,8/23/10 0:00,54576.0
3407,802239000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 10:47,8/23/10 0:00,54577.0
3408,802242000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 10:47,8/23/10 0:00,54577.0
3409,802241000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 9:43,8/23/10 0:00,54579.0
3410,802248000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 9:43,8/23/10 0:00,54579.0
3411,802242000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 9:43,8/23/10 0:00,54579.0
3413,802244000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 9:40,8/23/10 0:00,54580.0
3414,802248000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 9:40,8/23/10 0:00,54580.0
3415,802242000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 9:40,8/23/10 0:00,54580.0
3416,802250000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 10:52,8/23/10 0:00,54582.0
3417,802244000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 10:52,8/23/10 0:00,54582.0
3418,802248000.0,Interior/Exterior Work,Installation of solar PV array. Plans filed,2/23/10 10:52,8/23/10 0:00,54582.0
3419,802230001.0,Interior/Exterior Work,Installation of solar PV array. plans filed,2/23/10 9:37,8/23/10 0:00,348.0
3420,802231002.0,Interior/Exterior Work,Installation of solar PV array. plans filed,2/23/10 9:37,8/23/10 0:00,348.0
3421,802230001.0,Interior/Exterior Work,Installation of solar PV array. plans filed,2/23/10 10:06,8/23/10 0:00,349.0
3422,802231001.0,Interior/Exterior Work,Installation of solar PV array. plans filed,2/23/10 10:06,8/23/10 0:00,349.0
3423,802230000.0,Interior/Exterior Work,Installation of solar PV array. plans filed,2/23/10 10:06,8/23/10 0:00,349.0
3493,104966000.0,Solar Panels,Install 13 flush mount PV solar panels on Roof per plans stamped/signed by Architect Tom Petersen.,3/12/12 14:41,9/12/12 0:00,55179.0
3506,304134000.0,Fast Track Application,Duff &; Phelps -; 21st Floor -; Fit out of office space to include New offices and conference rooms. This work will consist of new walls  ceilings  flooring  paint  electrical  fire alarm  HVAC  Doors  and reuse of existing sprinkler with adjusting to heads to accomodate new layout.,2/3/12 8:38,8/3/12 0:00,158047.0
3632,1904133130.0,Solar Panels,"Install 24 solar panels on existing roof.Install on top part of South East face of roof. Roof area 15'-5""x52' long.",3/2/12 11:19,9/2/12 0:00,111824.0
3653,2200533000.0,Solar Panels,Construction of a 591 500kw roof top PV solar system  including equipment pad and electrical equipment. No interconnection.,2/27/12 10:40,8/27/12 0:00,341739.0
3770,,Interior/Exterior Work,1;single occupancy buildings. #26 Install 2 1/2 baths  1 kitchen  Move interior partitions  install kit beam and 5 header beams per plans  install 5 skylights 2nd floor  new electric service  new plumbing incl hot water heater.,5/4/12 11:26, ,170673.0
3771,1102568000.0,Interior/Exterior Work,1;single occupancy buildings. #28(rear house)Remove partition walls. New kitchen  1 1/2 baths  install skylight and 3 windows 2nd floor. Install side egress and porch 1st floor and new kit window. Remove chimneys. New hvac and hot water heater.,5/4/12 11:25,11/4/12 0:00,344019.0
3798,1101005000.0,Other,Add ballast to existing PV solar array: 16 pages filed. permit mailed/emailed.,3/27/12 16:02,9/27/12 0:00,144609.0
3799,1101282000.0,Other,Add ballast to existing roof mounted PV solar array:18 small pages filed.,3/28/12 10:02,9/28/12 0:00,144620.0
3804,1812981000.0,Solar Panels,Installation of 950KW photovoltaic solar system on the existing roof top per plans of Sal Capobianco Structural P.E.; To be installed by Lawrence Hurwitz of Broad Electric Company.,10/18/12 11:31,4/18/13 0:00,129444.0
3816,305380000.0,Change Occupancy,Change occupancy to include place of assebly in new pavilion addition adjacent to an existing atrium. The scope includes sitework  landscaping  mini piles  grade beams  steel  masonry  storefront  skylight  roofing  associated plumbing  fire protection  HVAC  fire alarm and electrical  drywall  ceilings  flooring and painting.,12/3/12 9:32,6/3/13 0:00,145756.0
3817,305380001.0,Change Occupancy,Change occupancy to include place of assebly in new pavilion addition adjacent to an existing atrium. The scope includes sitework  landscaping  mini piles  grade beams  steel  masonry  storefront  skylight  roofing  associated plumbing  fire protection  HVAC  fire alarm and electrical  drywall  ceilings  flooring and painting.,12/3/12 9:32,6/3/13 0:00,145756.0
3839,1102158000.0,Interior/Exterior Work,demo existing exterior wall and foundation 56 l.f. rebuild wall sheet metal sideing to match existing. insulate sheetrock and plaster interiorinstall new tube steel at interior rear wall.reinforce existing skylights.,4/10/12 15:34,10/10/12 0:00,341029.0
3848,1403177000.0,Solar Panels,Install 28 flush mount PV solar panels on roof per the plans and letter stamped/signed by architect Tom Petersen.,3/28/12 10:47,9/28/12 0:00,24821.0
3923,802250000.0,Interior/Exterior Work,Installation of 1.94KW solar Photovoltaic system. Plans filed,2/23/10 10:54,8/23/10 0:00,341273.0
3924,802232001.0,Interior/Exterior Work,Installation of 1.94KW solar Photovoltaic system. Plans filed,2/23/10 10:54,8/23/10 0:00,341273.0
3925,802251000.0,Interior/Exterior Work,Installation of 1.94KW solar Photovoltaic system. Plans filed,2/23/10 10:54,8/23/10 0:00,341273.0
3926,802231000.0,Interior/Exterior Work,Installation of 4.73KW solar Photovoltaic system. plans filed,2/23/10 9:25,8/23/10 0:00,341271.0
3936,802238000.0,Interior/Exterior Work,Installation of 4.73KW solar Photovoltaic system. Plans filed,2/24/10 10:42,8/24/10 0:00,
3938,802231001.0,Interior/Exterior Work,Installation of 4.73KW solar Photovoltaic system. Plans filed,2/23/10 10:03,8/23/10 0:00,
3954,1904584000.0,Other,Convert right side unfinished Attic space;into a Bedroom with closet. Install 1 skylight. Extend living space into the Attic.,11/16/12 10:28,5/16/13 0:00,50892.0
4015,1404681000.0,Solar Panels,Install 20 PV solar panels on Roof tied by 'EcoFastener Solar' methods stamped/signed by architect Tom Peterson.,5/17/12 14:10,11/17/12 0:00,66503.0
4029,106343000.0,Change Occupancy,The existing lot located at this address have two buildings attaches but not connected  one with three story height and another with one story only. The zoning district is 3F-2000 (residential).We proposed to change the one story building to commercial  specifically to a convinience store. The basics reason are first  due to the existing limited elevation area is an issues to meet the requarements for natural ventilation and light codes  the secondis due to the narrow layout is very complicated design a residential unit and the last one is the excellent location for a store in the neighborhood. Submitted 2 sets of plans.change occupancy of one story portion to a convenience store,2/18/11 14:18,8/18/11 0:00,343580.0
4100,1901212000.0,Solar Panels,Install 12 PV solar panels on roof per plans stamped/signed by architect Tom Peterson.,6/8/12 10:33,12/8/12 0:00,55216.0
4112,601828010.0,Solar Panels,"Install;36 PV solar panels on Roof tied by ""EcoFastener Solar"" methods stamped/signed by architect Tom Peterson.",5/17/12 14:10,11/17/12 0:00,135380.0
4151,,Signs,"Installation of signs for cubesmart storage sign A: 61"" x 181"" illuminated sign cabinet sign B: 44"" x 132"" illuminated sign cabinet sign C: 32"" x 14' fabric awning sign D: 32"" x 14' fabric awning sign E: 18"" x 23'-4"" illuminated channel letters mounted on raceway approved by;BRA",4/25/12 13:01,10/25/12 0:00,340738.0
